Table,Year,Rcode,Demographic,Description,Est1,Est2,Est3,Est4,Est5,Est6,Est7,Est8,Est9,Est10,Est11,DQF1,DQF2,DQF3,DQF4,DQF5,DQF6,DQF7,DQF8,DQF9,DQF10,DQF11,RSE1,RSE2,RSE3,RSE4,RSE5,RSE6,RSE7,RSE8,RSE9,RSE10,RSE11,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
T10,2007,PS01,Sex,Male,145.2,121.8,134.2,119.8,117.7,147.6,159.7,181.6,213.5,226.5,1567.5,,,,,,,,,,,,15.3,15.3,15.3,20.4,20.4,15.3,10.2,15.3,15.3,15.3,0,"Under    $1,100","$1,100 To    $9,399","$9,400 To   $13,799","$13,800 To   $18,899","$18,900 To   $25,799","$25,800 To   $33,099","$33,100 To   $41,699","$41,700 To   $50,999","$51,000 To   $67,299","$67,300 and Over"
T10,2007,PS02,Sex,Female,177.6,205.2,185.6,211.6,202.9,177.9,162.9,141.8,110,99.9,1675.4,,,,,,,,,,,,15.3,10.2,10.2,10.2,10.2,10.2,10.2,15.3,15.3,20.4,0,"Under    $1,100","$1,100 To    $9,399","$9,400 To   $13,799","$13,800 To   $18,899","$18,900 To   $25,799","$25,800 To   $33,099","$33,100 To   $41,699","$41,700 To   $50,999","$51,000 To   $67,299","$67,300 and Over"
T10,2007,P999,Total People 15+,Total people 15+,322.8,327,319.8,331.4,320.6,325.5,322.6,323.4,323.4,326.3,3242.9,,,,,,,,,,,,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,0,"Under    $1,100","$1,100 To    $9,399","$9,400 To   $13,799","$13,800 To   $18,899","$18,900 To   $25,799","$25,800 To   $33,099","$33,100 To   $41,699","$41,700 To   $50,999","$51,000 To   $67,299","$67,300 and Over"
T10,2007,PA01,Age group,15-19,160.6,96.1,14.1,11.9,11.3,7.6,3.3,,,,304.8,,,**,**,**,**,**,,,,,10.2,15.3,51,66.3,51,66.3,86.7,,,,0,"Under    $1,100","$1,100 To    $9,399","$9,400 To   $13,799","$13,800 To   $18,899","$18,900 To   $25,799","$25,800 To   $33,099","$33,100 To   $41,699","$41,700 To   $50,999","$51,000 To   $67,299","$67,300 and Over"
T10,2007,PA02,Age group,20-24,20.8,47.9,36.8,22.1,31.9,39.5,48.9,21.3,12.8,,283.8,*,*,*,*,*,*,*,**,**,S,,40.8,30.6,35.7,35.7,35.7,30.6,30.6,51,61.2,,0,"Under    $1,100","$1,100 To    $9,399","$9,400 To   $13,799","$13,800 To   $18,899","$18,900 To   $25,799","$25,800 To   $33,099","$33,100 To   $41,699","$41,700 To   $50,999","$51,000 To   $67,299","$67,300 and Over"
T10,2007,PA03,Age group,25-29,11.5,18.1,14.7,18.9,29.1,31.7,39.4,43.1,35.2,17.3,258.7,**,*,**,**,*,*,*,*,*,**,,61.2,40.8,86.7,61.2,30.6,35.7,25.5,30.6,35.7,51,0,"Under    $1,100","$1,100 To    $9,399","$9,400 To   $13,799","$13,800 To   $18,899","$18,900 To   $25,799","$25,800 To   $33,099","$33,100 To   $41,699","$41,700 To   $50,999","$51,000 To   $67,299","$67,300 and Over"
T10,2007,PA04,Age group,30-34,17.6,25.8,18.3,15.4,22.7,24.2,32.2,44.1,40.9,37.9,279.1,*,*,**,*,*,*,*,*,*,*,,40.8,40.8,51,51,30.6,30.6,30.6,20.4,25.5,25.5,0,"Under    $1,100","$1,100 To    $9,399","$9,400 To   $13,799","$13,800 To   $18,899","$18,900 To   $25,799","$25,800 To   $33,099","$33,100 To   $41,699","$41,700 To   $50,999","$51,000 To   $67,299","$67,300 and Over"
T10,2007,PA05,Age group,35-39,19.8,21.2,18.6,17.2,32.8,36.1,31.9,42.3,43.6,47.6,311.1,*,*,*,*,*,*,*,*,*,*,,35.7,35.7,30.6,45.9,35.7,30.6,25.5,30.6,20.4,20.4,0,"Under    $1,100","$1,100 To    $9,399","$9,400 To   $13,799","$13,800 To   $18,899","$18,900 To   $25,799","$25,800 To   $33,099","$33,100 To   $41,699","$41,700 To   $50,999","$51,000 To   $67,299","$67,300 and Over"
T10,2007,PA06,Age group,40-44,14.9,26.5,14.1,24.4,26,40,42.7,42,37,50.4,318,**,*,**,*,*,*,*,*,*,*,,56.1,40.8,71.4,35.7,35.7,25.5,30.6,25.5,30.6,30.6,0,"Under    $1,100","$1,100 To    $9,399","$9,400 To   $13,799","$13,800 To   $18,899","$18,900 To   $25,799","$25,800 To   $33,099","$33,100 To   $41,699","$41,700 To   $50,999","$51,000 To   $67,299","$67,300 and Over"
T10,2007,PA07,Age group,45-49,14.9,20.8,18.5,21.6,27.7,31.1,40.3,42.5,38.3,50.3,305.9,**,*,*,*,*,*,*,*,*,*,,66.3,45.9,40.8,40.8,40.8,35.7,30.6,30.6,25.5,25.5,0,"Under    $1,100","$1,100 To    $9,399","$9,400 To   $13,799","$13,800 To   $18,899","$18,900 To   $25,799","$25,800 To   $33,099","$33,100 To   $41,699","$41,700 To   $50,999","$51,000 To   $67,299","$67,300 and Over"
