Table,Year,Sex,IncomeCode,IncomeDescription,Mean,MeanFlag,MeanRse,Median,MedianFlag,MedianRse
T3,2007,11,10,0wages and salaries,43607,,5.5,40046,,3.9
T3,2007,11,11,1self-employment,44805,*,23.6,33480,,12.2
T3,2007,11,12,2investments,6187,*,28.1,1175,*,23.4
T3,2007,11,13,3private superannuation,21365,*,25.3,17095,,11.6
T3,2007,11,14,4New Zealand Superannuation and war pensions,12682,,3.3,12393,,1.6
T3,2007,11,15,5Other government benefits,6954,,11.5,6162,,15.1
T3,2007,11,16,6Other regular sources,9997,*,31.2,2630,*,40
T3,2007,11,17,7Total regular and recurring income,42532,,6,35614,,5.4
T3,2007,11,18,8Total irregular Income,13332,*,37.2,3623,*,26.3
T3,2007,11,19,9Total income all sources,43003,,5.9,36000,,5.3
T3,2007,12,10,0wages and salaries,30265,,5.2,26071,,6.1
T3,2007,12,11,1self-employment,22261,*,23.9,13237,*,23.7
T3,2007,12,12,2investments,5513,*,23.4,921,*,21.4
T3,2007,12,13,3private superannuation,11226,*,34.9,8379,*,22.3
T3,2007,12,14,4New Zealand Superannuation and war pensions,13290,,3.4,12639,,1.1
T3,2007,12,15,5Other government benefits,9165,,9.2,6240,,18.2
T3,2007,12,16,6Other regular sources,8450,*,25.4,3000,*,30.4
T3,2007,12,17,7Total regular and recurring income,29244,,4,22880,,4.5
T3,2007,12,18,8Total irregular Income,14953,*,36.4,2166,**,55.2
T3,2007,12,19,9Total income all sources,29998,,4.3,23265,,4.5
T3,2007,13,10,0wages and salaries,36816,,4.3,33000,,4.2
T3,2007,13,11,1self-employment,37608,,19.8,25000,,17.3
T3,2007,13,12,2investments,5843,,18.8,1000,,20.1
T3,2007,13,13,3private superannuation,17981,*,22.2,13982,,17.8
T3,2007,13,14,4New Zealand Superannuation and war pensions,13028,,2.7,12484,,1
T3,2007,13,15,5Other government benefits,8403,,7,6209,,13.1
T3,2007,13,16,6Other regular sources,9142,*,24.7,2877,*,24.1
T3,2007,13,17,7Total regular and recurring income,35719,,4,28323,,4.2
T3,2007,13,18,8Total irregular Income,14328,*,28.8,2630,*,36.3
T3,2007,13,19,9Total income all sources,36327,,4,28714,,4.2
T4,2007,11,10,0wages and salaries,27247,,6.2,17729,*,33.5
T4,2007,11,11,1self-employment,6656,*,30,0,,
T4,2007,11,12,2investments,1774,*,30.4,0,,
T4,2007,11,13,3private superannuation,546,*,34.3,0,,
T4,2007,11,14,4New Zealand Superannuation and war pensions,1641,,5.8,0,,
T4,2007,11,15,5Other government benefits,1036,*,21.1,0,,
T4,2007,11,16,6Other regular sources,1037,*,35.5,0,,
T4,2007,11,17,7Total regular and recurring income,39937,,5.8,33000,,5.7
T4,2007,11,18,8Total irregular Income,472,*,42.4,0,,
T4,2007,11,19,9Total income all sources,40409,,5.8,33282,,6
T4,2007,12,10,0wages and salaries,18343,,6,6857,*,23.7
T4,2007,12,11,1self-employment,1451,*,28.5,0,,
T4,2007,12,12,2investments,1539,*,24,0,,
T4,2007,12,13,3private superannuation,134,*,46.7,0,,
T4,2007,12,14,4New Zealand Superannuation and war pensions,2125,,5.5,0,,
T4,2007,12,15,5Other government benefits,2429,,10.9,0,,
T4,2007,12,16,6Other regular sources,1013,*,29.8,0,,
T4,2007,12,17,7Total regular and recurring income,27033,,4,20630,,5.8
T4,2007,12,18,8Total irregular Income,790,*,40.2,0,,
T4,2007,12,19,9Total income all sources,27823,,4.3,21107,,5.7
T4,2007,13,10,0wages and salaries,22647,,4.7,9386,,20.8
T4,2007,13,11,1self-employment,3967,*,25.1,0,,
T4,2007,13,12,2investments,1652,,20.7,0,,
T4,2007,13,13,3private superannuation,333,*,28.4,0,,
T4,2007,13,14,4New Zealand Superannuation and war pensions,1891,,4.5,0,,
T4,2007,13,15,5Other government benefits,1756,,11.4,0,,
T4,2007,13,16,6Other regular sources,1025,*,29,0,,
T4,2007,13,17,7Total regular and recurring income,33271,,3.9,25798,,4.8
T4,2007,13,18,8Total irregular Income,636,*,33.4,0,,
T4,2007,13,19,9Total income all sources,33907,,3.8,26107,,4.8
T3,2008,11,10,0wages and salaries,45836,,4.1,41080,,3.1
T3,2008,11,11,1self-employment,47164,,14,35000,,10.4
T3,2008,11,12,2investments,7791,*,24.3,1052,,18.8
T3,2008,11,13,3private superannuation,24216,*,38.1,15158,,11.1
T3,2008,11,14,4New Zealand Superannuation and war pensions,13706,,3.3,13296,,1.1
T3,2008,11,15,5Other government benefits,7014,,10.8,4836,,15.8
T3,2008,11,16,6Other regular sources,13237,*,28.2,2723,*,26.2
T3,2008,11,17,7Total regular and recurring income,46688,,4.6,37329,,3.9
T3,2008,11,18,8Total irregular Income,23187,*,42.7,4603,*,25.8
T3,2008,11,19,9Total income all sources,47569,,4.8,37543,,4.4
T3,2008,12,10,0wages and salaries,31039,,4.3,28679,,4.7
T3,2008,12,11,1self-employment,28535,*,24.2,19900,*,22.4
T3,2008,12,12,2investments,5783,,17.5,963,,17
T3,2008,12,13,3private superannuation,16517,*,45.8,11486,,17.9
T3,2008,12,14,4New Zealand Superannuation and war pensions,14585,,2,13766,,4.5
T3,2008,12,15,5Other government benefits,9493,,7.8,6474,,11.5
T3,2008,12,16,6Other regular sources,7786,*,27.8,2000,*,21.6
T3,2008,12,17,7Total regular and recurring income,30849,,4.2,24194,,4.2
T3,2008,12,18,8Total irregular Income,28926,*,41.6,3419,*,48.3
T3,2008,12,19,9Total income all sources,31986,,4.5,24445,,4.5
T3,2008,13,10,0wages and salaries,38541,,3.2,34675,,3
T3,2008,13,11,1self-employment,39980,,13.7,28000,,10.8
T3,2008,13,12,2investments,6752,,17.4,1000,,16.2
T3,2008,13,13,3private superannuation,21900,*,32.8,13741,,8.7
T3,2008,13,14,4New Zealand Superannuation and war pensions,14194,,2.1,13296,,1.1
T3,2008,13,15,5Other government benefits,8661,,6.8,5824,,10.9
T3,2008,13,16,6Other regular sources,10227,*,23.5,2357,,16.4
T3,2008,13,17,7Total regular and recurring income,38584,,3.6,30317,,2.7
T3,2008,13,18,8Total irregular Income,26280,*,27.6,3945,*,31.7
T3,2008,13,19,9Total income all sources,39584,,3.8,30590,,2.7
T4,2008,11,10,0wages and salaries,29493,,4.9,22685,,15.6
T4,2008,11,11,1self-employment,7128,,15.8,0,,
T4,2008,11,12,2investments,2546,*,24,0,,
T4,2008,11,13,3private superannuation,641,*,47.7,0,,
T4,2008,11,14,4New Zealand Superannuation and war pensions,1832,,5,0,,
T4,2008,11,15,5Other government benefits,1002,,16.3,0,,
T4,2008,11,16,6Other regular sources,1552,*,32.6,0,,
T4,2008,11,17,7Total regular and recurring income,44193,,4.7,35400,,3.6
T4,2008,11,18,8Total irregular Income,849,*,46.3,0,,
T4,2008,11,19,9Total income all sources,45043,,5,35726,,3.8
T4,2008,12,10,0wages and salaries,18154,,5.9,6883,*,28.7
T4,2008,12,11,1self-employment,2530,*,26.7,0,,
T4,2008,12,12,2investments,1896,,18.3,0,,
T4,2008,12,13,3private superannuation,176,**,53.8,0,,
T4,2008,12,14,4New Zealand Superannuation and war pensions,2274,,3.2,0,,
T4,2008,12,15,5Other government benefits,2508,,10.6,0,,
T4,2008,12,16,6Other regular sources,1052,*,28.9,0,,
T4,2008,12,17,7Total regular and recurring income,28591,,4.2,21822,,5.6
T4,2008,12,18,8Total irregular Income,1158,*,46.3,0,,
T4,2008,12,19,9Total income all sources,29749,,4.5,22135,,5.6
T4,2008,13,10,0wages and salaries,23632,,3.9,11126,,15
T4,2008,13,11,1self-employment,4751,,15.8,0,,
T4,2008,13,12,2investments,2210,,17.5,0,,
T4,2008,13,13,3private superannuation,401,*,39,0,,
T4,2008,13,14,4New Zealand Superannuation and war pensions,2061,,3,0,,
T4,2008,13,15,5Other government benefits,1781,,8.7,0,,
T4,2008,13,16,6Other regular sources,1294,*,25.2,0,,
T4,2008,13,17,7Total regular and recurring income,36129,,3.7,28157,,3.8
T4,2008,13,18,8Total irregular Income,1009,*,33.5,0,,
T4,2008,13,19,9Total income all sources,37137,,3.8,28623,,3.9
T3,2009,11,10,0wages and salaries,48082,,3.8,42705,,4.3
T3,2009,11,11,1self-employment,56896,,14.5,38000,,10.2
T3,2009,11,12,2investments,8039,*,29.2,1219,*,21.4
T3,2009,11,13,3private superannuation,20053,,18.2,19474,,16.8
T3,2009,11,14,4New Zealand Superannuation and war pensions,14109,,3.2,14041,,1.3
T3,2009,11,15,5Other government benefits,7962,,10.1,6572,,19.4
T3,2009,11,16,6Other regular sources,13339,*,40,2549,*,23.2
T3,2009,11,17,7Total regular and recurring income,49610,,5.3,39505,,3.4
T3,2009,11,18,8Total irregular Income,25311,**,69.4,2630,**,52.8
T3,2009,11,19,9Total income all sources,50775,,5.8,39766,,3.4
T3,2009,12,10,0wages and salaries,33384,,4.3,30113,,4.4
T3,2009,12,11,1self-employment,28597,*,26.6,19523,*,22.8
T3,2009,12,12,2investments,5148,,13.3,1000,,19.6
T3,2009,12,13,3private superannuation,11656,*,29.8,9402,,18.6
T3,2009,12,14,4New Zealand Superannuation and war pensions,15097,,2.3,14602,,3.9
T3,2009,12,15,5Other government benefits,9084,,7.7,6448,,10.6
T3,2009,12,16,6Other regular sources,9717,*,32.8,2600,*,29.9
T3,2009,12,17,7Total regular and recurring income,31891,,3.8,26028,,4.2
T3,2009,12,18,8Total irregular Income,13074,*,32.2,3025,*,30.5
T3,2009,12,19,9Total income all sources,32516,,3.7,26175,,4.8
T3,2009,13,10,0wages and salaries,40808,,3.1,36500,,3
