Table,Year,Rcode,Tenure_code,HCRatio,NumHHlds,PcentHHs,NumHHlds_RSE,PcentHHs_RSE,NumHHlds_Flag,PcentHHs_Flag
T5,2007,OR1,O,Under25,877.6,80.7,4.2,2.4,,
T5,2007,OR2,O,25OrMore,210,19.3,10.2,10.2,,
T5,2007,OR3,O,30OrMore,150.4,13.8,12.9,12.9,,
T5,2007,OR4,O,40OrMore,85.6,7.9,20.3,20.9,,
T5,2007,OR5,O,Total,1087.6,100,3.1,0,,
T5,2007,RR1,R,Under25,281.1,59.4,11.6,8.1,,
T5,2007,RR2,R,25OrMore,192.2,40.6,12.7,11.8,,
T5,2007,RR3,R,30OrMore,144.7,30.6,14.4,14.4,,
T5,2007,RR4,R,40OrMore,85.9,18.2,19.3,19.6,,
T5,2007,RR5,R,Total,473.3,100,7,0,,
T5,2007,TR1,T,Under25,1158.7,74.2,2.7,2.7,,
T5,2007,TR2,T,25OrMore,402.1,25.8,7.9,7.9,,
T5,2007,TR3,T,30OrMore,295.1,18.9,9.8,9.8,,
T5,2007,TR4,T,40OrMore,171.5,11,13.7,13.7,,
T5,2007,TR5,T,Total,1560.9,100,0,0,,
T5,2008,OR1,O,Under25,841.7,79.1,3.7,2.5,,
T5,2008,OR2,O,25OrMore,222.7,20.9,9.9,9.3,,
T5,2008,OR3,O,30OrMore,159.3,15,12.6,12.4,,
T5,2008,OR4,O,40OrMore,92,8.6,20,19.9,,
T5,2008,OR5,O,Total,1064.4,100,3,0,,
T5,2008,RR1,R,Under25,273.8,53.1,8.4,6.2,,
T5,2008,RR2,R,25OrMore,241.4,46.9,9.7,7,,
T5,2008,RR3,R,30OrMore,178.6,34.7,11.7,9.2,,
T5,2008,RR4,R,40OrMore,102.4,19.9,14.5,13.9,,
T5,2008,RR5,R,Total,515.2,100,6.2,0,,
T5,2008,TR1,T,Under25,1115.8,70.6,2.5,2.5,,
T5,2008,TR2,T,25OrMore,464.1,29.4,6,6,,
T5,2008,TR3,T,30OrMore,337.9,21.4,8.6,8.6,,
T5,2008,TR4,T,40OrMore,194.4,12.3,12.2,12.2,,
T5,2008,TR5,T,Total,1580,100,0,0,,
T5,2009,OR1,O,Under25,868.6,80.5,3.5,3.1,,
T5,2009,OR2,O,25OrMore,210.3,19.5,14.2,12.7,,
T5,2009,OR3,O,30OrMore,143.5,13.3,15.9,14.5,,
T5,2009,OR4,O,40OrMore,74.5,6.9,22.8,21.7,*,*
T5,2009,OR5,O,Total,1078.9,100,3.3,0,,
T5,2009,RR1,R,Under25,287.2,55.5,10.8,7.7,,
T5,2009,RR2,R,25OrMore,230.6,44.5,11.1,9.5,,
T5,2009,RR3,R,30OrMore,176.2,34,12.4,12.2,,
T5,2009,RR4,R,40OrMore,103.4,20,17.1,17.1,,
T5,2009,RR5,R,Total,517.8,100,6.8,0,,
