Table,Year,Rcode,Demographic,Description,Est1,Est2,Est3,Est4,Est5,Est6,Est7,Est8,Est9,Est10,Est11,DQF1,DQF2,DQF3,DQF4,DQF5,DQF6,DQF7,DQF8,DQF9,DQF10,DQF11,RSE1,RSE2,RSE3,RSE4,RSE5,RSE6,RSE7,RSE8,RSE9,RSE10,RSE11,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10
T9,2007,HH999,Total all households,Total all households,153.4,158.7,155.8,155.9,157,155.6,156.2,155.9,157.1,155.1,1560.9,,,,,,,,,,,,15.3,15.3,15.3,15.3,15.3,15.3,15.3,10.2,15.3,15.3,0,"Under   $17,900","$17,900 To   $26,299","$26,300 To   $34,399","$34,400 To   $45,299","$45,300 To   $57,199","$57,200 To   $69,099","$69,100 To   $81,799","$81,800 To  $100,599","$100,600 To  $134,999","$135,000 and Over"
T9,2007,HHC01,Household Composition,Couple only,20.3,42.8,53,39,37.5,41.6,56.3,40.9,44.7,37.1,413.3,*,*,*,*,*,,*,*,*,*,,40.8,25.5,25.5,25.5,35.7,20.4,25.5,25.5,30.6,30.6,5.1,"Under   $17,900","$17,900 To   $26,299","$26,300 To   $34,399","$34,400 To   $45,299","$45,300 To   $57,199","$57,200 To   $69,099","$69,100 To   $81,799","$81,800 To  $100,599","$100,600 To  $134,999","$135,000 and Over"
T9,2007,HHC02,Household Composition,Couple with one dependent child,2.7,5.3,9.1,8.8,16,18.4,15.9,13.7,20.4,12,122.1,**,**,**,**,*,*,**,*,*,*,,91.8,81.6,76.5,51,51,45.9,56.1,45.9,40.8,51,15.3,"Under   $17,900","$17,900 To   $26,299","$26,300 To   $34,399","$34,400 To   $45,299","$45,300 To   $57,199","$57,200 To   $69,099","$69,100 To   $81,799","$81,800 To  $100,599","$100,600 To  $134,999","$135,000 and Over"
T9,2007,HHC03,Household Composition,Couple with two dependent children,2.2,6.7,3.5,9.5,18.5,23,19.9,24.5,22,20.8,150.6,**,***,**,**,*,*,*,*,*,*,,86.7,107.1,91.8,71.4,45.9,40.8,30.6,35.7,35.7,40.8,10.2,"Under   $17,900","$17,900 To   $26,299","$26,300 To   $34,399","$34,400 To   $45,299","$45,300 To   $57,199","$57,200 To   $69,099","$69,100 To   $81,799","$81,800 To  $100,599","$100,600 To  $134,999","$135,000 and Over"
T9,2007,HHC04,Household Composition,Couple with three or more dependent children,2.7,,4.2,8.5,13.5,9.5,5.6,14.4,11.2,4.6,76.3,***,S,**,**,**,**,**,**,**,**,,102,,81.6,76.5,51,51,71.4,51,56.1,76.5,20.4,"Under   $17,900","$17,900 To   $26,299","$26,300 To   $34,399","$34,400 To   $45,299","$45,300 To   $57,199","$57,200 To   $69,099","$69,100 To   $81,799","$81,800 To  $100,599","$100,600 To  $134,999","$135,000 and Over"
T9,2007,HHC05,Household Composition,All other 'couples with child(ren) only' households,,,4.2,6.1,10.6,14.2,14,20,21.7,34,128.4,S,S,***,***,**,**,**,**,*,*,,,,107.1,112.2,71.4,51,56.1,56.1,45.9,40.8,20.4,"Under   $17,900","$17,900 To   $26,299","$26,300 To   $34,399","$34,400 To   $45,299","$45,300 To   $57,199","$57,200 To   $69,099","$69,100 To   $81,799","$81,800 To  $100,599","$100,600 To  $134,999","$135,000 and Over"
T9,2007,HHC06,Household Composition,One parent with dependent child(ren) only,9.7,15.7,25.6,13.4,8.2,3.6,,1.7,,,81.2,**,*,*,*,**,**,S,***,S,S,,61.2,40.8,30.6,45.9,61.2,86.7,,127.5,,,20.4,"Under   $17,900","$17,900 To   $26,299","$26,300 To   $34,399","$34,400 To   $45,299","$45,300 To   $57,199","$57,200 To   $69,099","$69,100 To   $81,799","$81,800 To  $100,599","$100,600 To  $134,999","$135,000 and Over"
T9,2007,HHC07,Household Composition,All other 'one parent with child(ren) only' households,3.8,3.5,8.2,7.5,4.3,3,4.2,5.2,4,2.9,46.7,***,**,**,**,**,**,**,**,***,**,*,102,81.6,81.6,71.4,71.4,76.5,76.5,91.8,107.1,86.7,25.5,"Under   $17,900","$17,900 To   $26,299","$26,300 To   $34,399","$34,400 To   $45,299","$45,300 To   $57,199","$57,200 To   $69,099","$69,100 To   $81,799","$81,800 To  $100,599","$100,600 To  $134,999","$135,000 and Over"
T9,2007,HHC08,Household Composition,Other one-family households,,3.6,5.8,9.8,11.3,9.2,12.3,9.4,9.3,15.1,87.1,S,**,**,**,**,**,*,**,**,*,,,96.9,71.4,61.2,56.1,71.4,45.9,51,56.1,45.9,15.3,"Under   $17,900","$17,900 To   $26,299","$26,300 To   $34,399","$34,400 To   $45,299","$45,300 To   $57,199","$57,200 To   $69,099","$69,100 To   $81,799","$81,800 To  $100,599","$100,600 To  $134,999","$135,000 and Over"
T9,2007,HHC09,Household Composition,One-person household,107.7,75.5,36,37.4,30.1,18.4,13,6.4,5.9,3.6,334.1,,*,*,*,*,*,*,**,**,**,,15.3,30.6,30.6,25.5,35.7,40.8,40.8,61.2,66.3,91.8,5.1,"Under   $17,900","$17,900 To   $26,299","$26,300 To   $34,399","$34,400 To   $45,299","$45,300 To   $57,199","$57,200 To   $69,099","$69,100 To   $81,799","$81,800 To  $100,599","$100,600 To  $134,999","$135,000 and Over"
